Gia,Dia chi,Dien tich,Gia/m2,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai
"16,9 tỷ - 428 m2","Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",428 m²,"39,49 triệu/m²",Tây Bắc,Đất thổ cư,17.34 m,25 m
"2,25 tỷ - 90 m2","Đường Phước Lý 17, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,25 triệu/m²,Đông Nam,Đất thổ cư,5 m,18 m
"4,9 tỷ - 150 m2","Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",150 m²,"32,67 triệu/m²",Đông Nam,Đất thổ cư,5.3498 m,27.7999 m
"2,25 tỷ - 90 m2","15, Đường Phước Lý 17, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,25 triệu/m²,Đông Nam,Đất thổ cư,5 m,18 m
"5,2 tỷ - 90 m2","Đường Trần Triệu Luật, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,"57,78 triệu/m²",Bắc,Đất thổ cư,4.5 m,20 m
"1,95 tỷ - 80 m2","Kiệt 414 Lê Văn Hiến, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",80 m²,"24,38 triệu/m²",Đông Bắc,Đất thổ cư,4 m,20 m
14 tỷ - 150 m2,"Đường Doãn Khuê, Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",150 m²,"93,33 triệu/m²",Bắc,Đất nền dự án,6 m,25 m
4 tỷ - 125 m2,"Đường Nước Mặn 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",125 m²,32 triệu/m²,Tây Nam,Đất thổ cư,5 m,25 m
,,,,,,,
,,,,,,,
"3,2 tỷ - 115 m2","Đường Lê Trọng Tấn, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",115 m²,"27,83 triệu/m²",Tây Nam,Đất thổ cư,5 m,24 m
"2,25 tỷ - 90 m2","Đường Phước Lý 17, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,25 triệu/m²,,Đất thổ cư,,
"2,25 tỷ - 100 m2","Đường Nguyễn Chu Sĩ, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"22,5 triệu/m²",Đông Nam,Đất thổ cư,5 m,20 m
110 triệu - 100 m2,"Hoà khánh bắc , Thanh vinh 15, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"1,1 triệu/m²",Đông Bắc,Đất nông nghiệp,5 m,20 m
"13,5 tỷ - 300 m2","Đường Lương Hữu Khánh, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",300 m²,45 triệu/m²,Nam,Đất nền dự án,15 m,20 m
"1,45 tỷ - 120 m2","Đường Quốc lộ 1, Xã Hòa Phước, Huyện Hòa Vang, Đà NẵngXem bản đồ",120 m²,"12,08 triệu/m²",,Đất thổ cư,6 m,
"7,8 tỷ - 198 m2","Đường Mai Đăng Chơn, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",198 m²,"39,39 triệu/m²",Tây Bắc,Đất thổ cư,,
"3,27 tỷ - 105 m2","Đường 7,5m, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"31,14 triệu/m²",Đông Bắc,Đất nền dự án,5 m,21 m
"2,29 tỷ - 90 m2","Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,"25,44 triệu/m²",Đông Nam,Đất thổ cư,5 m,18 m
"2,17 tỷ - 52 m2","Bình An 7 , Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",52 m²,"41,73 triệu/m²",Đông Nam,Đất thổ cư,4.1999 m,
"1,69 tỷ - 100 m2","Đường Đỗ Ngọc Du, Phường Thanh Khê Đông, Quận Thanh Khê, Đà NẵngXem bản đồ",100 m²,"16,9 triệu/m²",Tây Bắc,Đất thổ cư,5 m,20 m
"2,85 tỷ - 87 m2","Trường Chinh, Phường Thanh Khê Đông, Quận Thanh Khê, Đà NẵngXem bản đồ",87 m²,"32,76 triệu/m²",Đông Bắc,Đất thổ cư,6 m,14.5 m
"7,6 tỷ - 177 m2","Quảng ngãi , Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",177 m²,"42,94 triệu/m²",Tây Bắc,Đất nền dự án,8.5 m,20 m
,,,,,,,
"2,1 tỷ - 90 m2","Đường Văn Thánh 1, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,"23,33 triệu/m²",Nam,Đất thổ cư,5 m,18 m
"2,1 tỷ - 90 m2","Đàm Thanh 1, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,"23,33 triệu/m²",Tây Bắc,Đất thổ cư,5 m,18 m
"2,75 tỷ - 100 m2","Võ Quảng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"27,5 triệu/m²",Tây,Đất nền dự án,5 m,20 m
3 tỷ - 105 m2,"Đường 7,5m, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"28,57 triệu/m²",,Đất nền dự án,5 m,21 m
"8,5 tỷ - 186 m2","Đường Mỹ An 19, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",186 m²,"45,7 triệu/m²",Đông,Đất thổ cư,11 m,20 m
,,,,,,,
,,,,,,,
39 tỷ - 540 m2,"An Hải Đông 1, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",540 m²,"72,22 triệu/m²",,Đất thổ cư,19 m,
"2,25 tỷ - 76 m2","Đường Tôn Đản, Phường Hòa Phát, Quận Cẩm Lệ, Đà NẵngXem bản đồ",76 m²,"29,61 triệu/m²",Tây Nam,Đất nền dự án,10 m,7.5998 m
3 tỷ - 105 m2,"Đường 7,5m, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"28,57 triệu/m²",Tây Nam,Đất nền dự án,5 m,21 m
"2,75 tỷ - 115 m2","Nguyễn Minh Không, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",115 m²,"23,91 triệu/m²",Đông Nam,Đất thổ cư,5 m,23 m
"3,68 tỷ - 100 m2","Thanh Lương 14, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"36,8 triệu/m²",Đông Nam,Đất nền dự án,5 m,20 m
"1,4 tỷ - 132 m2","Quốc Lộ 1A, Xã Hòa Phước, Huyện Hòa Vang, Đà NẵngXem bản đồ",132 m²,"10,61 triệu/m²",Nam,Đất thổ cư,5 m,27 m
9 tỷ - 400 m2,"Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",400 m²,"22,5 triệu/m²",,Đất thổ cư,13.5 m,30 m
"1,9 tỷ - 160 m2","Quốc Lộ 1A, Xã Hòa Phước, Huyện Hòa Vang, Đà NẵngXem bản đồ",160 m²,"11,88 triệu/m²",Nam,Đất thổ cư,7 m,24 m
"8,2 tỷ - 112 m2","Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",112 m²,"73,21 triệu/m²",Đông Bắc,Đất thổ cư,4.5 m,24.8798 m
"2,1 tỷ - 100 m2","Ban Ban, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,21 triệu/m²,Bắc,Đất thổ cư,5 m,20 m
"4,25 tỷ - 86 m2","Lê Hữu Trác , Phường An Hải Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",86 m²,"49,42 triệu/m²",Đông Nam,Đất thổ cư,4.01 m,22 m
,,,,,,,
,,,,,,,
"1,65 tỷ - 85 m2","Đường Bình Kỳ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",85 m²,"19,41 triệu/m²",Tây Bắc,Đất thổ cư,5.5 m,16 m
,,,,,,,
,,,,,,,
"2,65 tỷ - 123 m2","Lỗ Giáng 21, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",123 m²,"21,54 triệu/m²",Đông,Đất thổ cư,5 m,25 m
3 tỷ - 100 m2,"Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,30 triệu/m²,Tây,Đất thổ cư,5 m,20 m
"2,45 tỷ - 100 m2","Nguyễn Quang Lâm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"24,5 triệu/m²",Tây,Đất thổ cư,5 m,20 m
"4,35 tỷ - 120 m2","Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",120 m²,"36,25 triệu/m²",Tây,Đất thổ cư,5 m,24 m
,,,,,,,
11 tỷ - 7.200 m2,"Đường Bà Nà - Suối Mơ, Xã Hòa Sơn, Huyện Hòa Vang, Đà NẵngXem bản đồ",7200 m²,"1,53 triệu/m²",,Đất thổ cư,13 m,500 m
12 tỷ - 250 m2,"Đường Lê Quang Hòa, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",250 m²,48 triệu/m²,,Đất thổ cư,,
,,,,,,,
"1,2 tỷ - 150 m2","Trường Tiểu Học Hòa Khương 2, Xã Hòa Khương, Huyện Hòa Vang, Đà NẵngXem bản đồ",150 m²,8 triệu/m²,Tây Bắc,Đất thổ cư,6 m,25 m
,,,,,,,
,,,,,,,
3 tỷ - 65 m2,"Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",65 m²,"46,15 triệu/m²",Bắc,Đất thổ cư,7.4499 m,8 m
,,,,,,,
,,,,,,,
"2,8 tỷ - 84 m2","Phó Đức Chính, Phường Mân Thái, Quận Sơn Trà, Đà NẵngXem bản đồ",84 m²,"33,33 triệu/m²",,Đất thổ cư,4 m,21 m
,,,,,,,
,,,,,,,
,,,,,,,
"2,55 tỷ - 90 m2","nguyễn đoá, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",90 m²,"28,33 triệu/m²",Tây,Đất thổ cư,5 m,
"3,7 tỷ - 90 m2","Vũ Trọng Hoàng, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",90 m²,"41,11 triệu/m²",Nam,Đất thổ cư,4.5 m,20 m
,,,,,,,
"3,25 tỷ - 110 m2","Đường Đặng Hồi Xuân, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",110 m²,"29,55 triệu/m²",Đông Nam,Đất nền dự án,5 m,22 m
"2,62 tỷ - 100 m2","Kiều Sơn Đen, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"26,2 triệu/m²",Nam,Đất thổ cư,5 m,20 m
,,,,,,,
"3,47 tỷ - 110 m2","Đường Trương Xuân Nam, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",110 m²,"31,55 triệu/m²",Đông Nam,Đất nền dự án,5 m,22 m
"2,1 tỷ - 104 m2","Nguyễn Duy Trinh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",104 m²,"20,19 triệu/m²",,Đất thổ cư,5 m,23 m
,,,,,,,
"4,3 tỷ - 100 m2","Đường Bùi Kỷ, Phường Khuê Trung, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,43 triệu/m²,,Đất thổ cư,,
"5,8 tỷ - 110 m2","Thế Lữ, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",110 m²,"52,73 triệu/m²",Tây,Đất thổ cư,5 m,22 m
"2,35 tỷ - 100 m2","Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"23,5 triệu/m²",,Đất nền dự án,5 m,20 m
,,,,,,,
13 tỷ - 3.221 m2,"Tổ 6, Xã Hòa Nhơn, Huyện Hòa Vang, Đà NẵngXem bản đồ",3221 m²,"4,04 triệu/m²",Tây Nam,Đất nền dự án,32 m,100 m
,,,,,,,
,,,,,,,
"18,9 tỷ - 120 m2","HỒ NGHINH, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",120 m²,"157,5 triệu/m²",Tây,Đất thổ cư,5.5 m,
"3,75 tỷ - 102.5 m2","10.5m, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",102.5 m²,"36,59 triệu/m²",Tây Nam,Đất nền dự án,5 m,20.25 m
"1,8 tỷ - 54 m2","Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà NẵngXem bản đồ",54 m²,"33,33 triệu/m²",Tây Bắc,Đất thổ cư,9 m,6 m
"20,5 tỷ - 212 m2","Đường Lý Thánh Tông, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",212 m²,"96,7 triệu/m²",Nam,Đất thổ cư,10 m,20 m
,,,,,,,
,,,,,,,
"8,3 tỷ - 280 m2","Mai Đăng Chơn, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",280 m²,"29,64 triệu/m²",,Đất thổ cư,10 m,28 m
"13,8 tỷ - 200 m2","Đường Trần Hữu Độ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",200 m²,69 triệu/m²,,Đất nền dự án,,
"2,89 tỷ - 80 m2","Đỗ Bá, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",80 m²,"36,13 triệu/m²",,Đất thổ cư,,
16 tỷ - 190 m2,"Đường Trần Hữu Độ, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",190 m²,"84,21 triệu/m²",,Đất nền dự án,,
"3,1 tỷ - 100 m2","Đường Nguyễn Kim, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,31 triệu/m²,Bắc,Đất thổ cư,5 m,20 m
"5,5 tỷ - 81 m2","Đường Phan Anh, Phường Khuê Trung, Quận Cẩm Lệ, Đà NẵngXem bản đồ",81 m²,"67,9 triệu/m²",Tây,Đất thổ cư,4.5 m,
"19,9 tỷ - 272 m2","Hồ Hán Thương, Phường Nại Hiên Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",272 m²,"73,16 triệu/m²",Tây Bắc,Đất thổ cư,13.6 m,20 m
"2,17 tỷ - 51 m2","Bình An 7, Phường Hòa Cường Nam, Quận Hải Châu, Đà NẵngXem bản đồ",51 m²,"42,55 triệu/m²",Đông Nam,Đất thổ cư,4.5 m,
"5,7 tỷ - 100 m2","Đường Khúc Hạo, Phường Nại Hiên Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",100 m²,57 triệu/m²,Đông Bắc,Đất thổ cư,5 m,20 m
"2,45 tỷ - 79 m2","Kiệt Otto Ngô Quyền, Phường Mân Thái, Quận Sơn Trà, Đà NẵngXem bản đồ",79 m²,"31,01 triệu/m²",Tây Nam,Đất thổ cư,6.3 m,12.5 m
"4,15 tỷ - 85 m2","Đường Lương Văn Can, Phường Khuê Trung, Quận Cẩm Lệ, Đà NẵngXem bản đồ",85 m²,"48,82 triệu/m²",Tây Nam,Đất nền dự án,5.5 m,
"1,85 tỷ - 66.5 m2","Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",66.5 m²,"27,82 triệu/m²",Tây,Đất thổ cư,5 m,
"2,48 tỷ - 95 m2","Cổ Mân Mai 1, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",95 m²,"26,11 triệu/m²",Bắc,Đất nền dự án,5 m,19 m
,,,,,,,
"1,38 tỷ - 96 m2","Lưu Quang Vũ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",96 m²,"14,38 triệu/m²",Tây Nam,Đất nền dự án,5.21 m,19 m
"5,6 tỷ - 105 m2","Đường Nguyễn Xiển, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"53,33 triệu/m²",Đông Bắc,Đất thổ cư,5 m,21 m
"1,02 tỷ - 75 m2","Đường Ngô Xuân Thu, Phường Hòa Hiệp Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",75 m²,"13,6 triệu/m²",Đông Bắc,Đất thổ cư,5 m,15 m
,,,,,,,
400.000 đ - 1.200 m2,"Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",1200 m²,333 đ/m²,,Đất nông nghiệp,,
"2,169 tỷ - 52 m2","Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",52 m²,"41,71 triệu/m²",Đông Nam,Đất thổ cư,,
820 triệu - 120 m2,"An Trạch, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",120 m²,"6,83 triệu/m²",,Đất thổ cư,,
"7,5 tỷ - 180 m2","Đường Hòa An 19, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",180 m²,"41,67 triệu/m²",,Đất thổ cư,,
"2,33 tỷ - 100 m2","Đường Trung Hòa 4, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"23,3 triệu/m²",,Đất thổ cư,5 m,20 m
7 tỷ - 135 m2,"Đường Nguyễn Văn Linh, Phường Hòa Thuận Tây, Quận Hải Châu, Đà NẵngXem bản đồ",135 m²,"51,85 triệu/m²",Tây,Đất thổ cư,,
"4,2 tỷ - 90 m2","Đường Nguyễn Nho Túy, Phường Khuê Trung, Quận Cẩm Lệ, Đà NẵngXem bản đồ",90 m²,"46,67 triệu/m²",,Đất thổ cư,,
"3,55 tỷ - 104 m2","Nguyễn Đình Chiểu, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",104 m²,"34,13 triệu/m²",,Đất thổ cư,5 m,21 m
,,,,,,,
"2,5 tỷ - 105 m2","Trà Khê 9, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"23,81 triệu/m²",Đông,Đất thổ cư,5 m,21 m
"1,249 tỷ - 148 m2","Quảng Xương, Xã Hòa Phong, Huyện Hòa Vang, Đà NẵngXem bản đồ",148 m²,"8,44 triệu/m²",Nam,Đất thổ cư,5 m,30 m
"4,3 tỷ - 80 m2","Đường Trần Nguyên Đán, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",80 m²,"53,75 triệu/m²",,Đất thổ cư,,
"7,9 tỷ - 63 m2","Hà Huy Tập, Phường An Khê, Quận Thanh Khê, Đà NẵngXem bản đồ",63 m²,"125,4 triệu/m²",,Đất thổ cư,,
5 tỷ - 100 m2,"Đường Mỹ Đa Tây 7, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,50 triệu/m²,,Đất nền dự án,,
"7,7 tỷ - 215 m2","Hoà Minh 28, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",215 m²,"35,81 triệu/m²",Đông Bắc,Đất nền dự án,10 m,21.5 m
"1,7 tỷ - 445.6 m2","57, Đường Vành đai phía tây Đà Nẵng, Xã Hòa Khương, Huyện Hòa Vang, Đà NẵngXem bản đồ",445.6 m²,"3,82 triệu/m²",Đông,Đất thổ cư,11.3 m,
"2,55 tỷ - 600 m2","Đường Bê Tông 6m 2 Oto, Xã Hòa Phú, Huyện Hòa Vang, Đà NẵngXem bản đồ",600 m²,"4,25 triệu/m²",Bắc,Đất thổ cư,10 m,60 m
"2,849 tỷ - 65 m2","Đường Phú Xuân 9, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",65 m²,"43,83 triệu/m²",Tây Bắc,Đất thổ cư,4.17 m,15.5 m
,,,,,,,
"1,35 tỷ - 90 m2","Đường Mai Đăng Chơn, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",90 m²,15 triệu/m²,Tây Bắc,Đất thổ cư,6 m,15 m
"2,35 tỷ - 67 m2","Trần Quang Khải , Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",67 m²,"35,07 triệu/m²",Tây Bắc,Đất thổ cư,,
"3,3 tỷ - 130 m2","Huỳnh Xuân Nhị, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",130 m²,"25,38 triệu/m²",Tây,Đất thổ cư,6 m,22 m
"2,43 tỷ - 100 m2","Đường Võ Chí Công, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"24,3 triệu/m²",Đông Nam,Đất thổ cư,5 m,20 m
"3,75 tỷ - 110 m2","0, Đường Lương Thế Vinh, Phường An Hải Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",110 m²,"34,09 triệu/m²",Nam,Đất thổ cư,5 m,21 m
"4,25 tỷ - 120 m2","Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",120 m²,"35,42 triệu/m²",Đông,Đất thổ cư,6 m,20 m
"2,9 tỷ - 63 m2","Đường Ngô Quyền, Phường An Hải Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",63 m²,"46,03 triệu/m²",,Đất thổ cư,,
"2,35 tỷ - 100 m2","Đường Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"23,5 triệu/m²",,Đất nền dự án,5 m,20 m
,,,,,,,
"3,61 tỷ - 95 m2","Đường Đinh Đức Thiện, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",95 m²,38 triệu/m²,,Đất thổ cư,,
4 tỷ - 504 m2,"K1055 Âu Cơ, Đường Âu Cơ, Xã Hòa Sơn, Huyện Hòa Vang, Đà NẵngXem bản đồ",504 m²,"7,94 triệu/m²",,Đất thổ cư,,
"3,5 tỷ - 90 m2","Đường Lê Như Hổ, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",90 m²,"38,89 triệu/m²",Đông,Đất thổ cư,5 m,18 m
"2,8 tỷ - 104 m2","Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",104 m²,"26,92 triệu/m²",,Đất nền dự án,6 m,18 m
"2,78 tỷ - 100 m2","Đường Trung Hòa 1, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"27,8 triệu/m²",,Đất thổ cư,5 m,22 m
"2,65 tỷ - 102 m2","Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",102 m²,"25,98 triệu/m²",,Đất nền dự án,6 m,17 m
,,,,,,,
,,,,,,,
"2,17 tỷ - 52 m2","Bình An 7 , Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",52 m²,"41,73 triệu/m²",Đông Nam,Đất thổ cư,4 m,
"4,95 tỷ - 99 m2","An Hải 6, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",99 m²,50 triệu/m²,Tây Bắc,Đất thổ cư,5 m,19.8999 m
"53,4 tỷ - 334 m2","Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, Đà NẵngXem bản đồ",334 m²,"159,88 triệu/m²",,Đất thổ cư,15 m,
"1,25 tỷ - 152 m2","Quảng xương, Xã Hòa Phong, Huyện Hòa Vang, Đà NẵngXem bản đồ",152 m²,"8,22 triệu/m²",Tây,Đất thổ cư,5 m,30 m
"7,3 tỷ - 160 m2","Đinh Châu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà NẵngXem bản đồ",160 m²,"45,63 triệu/m²",,Đất nền dự án,,
"2,22 tỷ - 100 m2","Đường Liêm Lạc 6, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"22,2 triệu/m²",Nam,Đất nền dự án,5 m,20 m
22 tỷ - 438.5 m2,"Đinh Gia Trinh - Hà Duy Phiên, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",438.5 m²,"50,17 triệu/m²",Đông Bắc,Đất nền dự án,13.8 m,30.6 m
"11,5 tỷ - 215 m2","Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",215 m²,"53,49 triệu/m²",Tây,Đất nền dự án,10 m,21.5 m
,,,,,,,
,,,,,,,
890 triệu - 167 m2,"Đường Bê Tông Sau Ủy Ban Xã, Xã Hòa Ninh, Huyện Hòa Vang, Đà NẵngXem bản đồ",167 m²,"5,33 triệu/m²",Đông,Đất thổ cư,4.8 m,23 m
"2,55 tỷ - 85 m2","Đường Hoà Phú 8, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",85 m²,30 triệu/m²,,Đất nền dự án,5 m,17 m
"2,29 tỷ - 66 m2","Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",66 m²,"34,7 triệu/m²",Tây Nam,Đất thổ cư,5 m,13 m
,,,,,,,
"2,36 tỷ - 100 m2","Mê Linh, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"23,6 triệu/m²",Tây Bắc,Đất thổ cư,5 m,20 m
"2,5 tỷ - 90 m2","Bàu Mạc 22, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,"27,78 triệu/m²",Tây Bắc,Đất nền dự án,5 m,18 m
"3,65 tỷ - 92 m2","Hoà Phú, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",92 m²,"39,67 triệu/m²",Tây Nam,Đất nền dự án,5 m,19 m
"7,35 tỷ - 160 m2","79, Đường Đinh Châu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà NẵngXem bản đồ",160 m²,"45,94 triệu/m²",Đông Nam,Đất thổ cư,8.1998 m,20 m
11 tỷ - 249 m2,"79, Tôn Thất Dương Kỵ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",249 m²,"44,18 triệu/m²",,Đất thổ cư,12 m,22 m
,,,,,,,
"3,5 tỷ - 60 m2","99, Đường Đinh Tiên Hoàng, Phường Tam Thuận, Quận Thanh Khê, Đà NẵngXem bản đồ",60 m²,"58,33 triệu/m²",Đông Bắc,Đất thổ cư,4 m,
,,,,,,,
"2,65 tỷ - 89 m2","Bàu Mạc 22, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",89 m²,"29,78 triệu/m²",,Đất thổ cư,5 m,17.7999 m
3 tỷ - 107 m2,"Bàu Mạc 17, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",107 m²,"28,04 triệu/m²",,Đất thổ cư,5 m,21.6 m
"3,95 tỷ - 95 m2","Đường Trịnh Lỗi, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",95 m²,"41,58 triệu/m²",,Đất nền dự án,5 m,19 m
